,titles,dates,origin,section,ID,exclusion_reason
6536,"Chris Selley: Wab Kinew, of all people, should respect the right to counsel",2024-09-19, National Post (Online); Toronto, NP Comment,3107171291,Manitoba politics (Kinew)
6538,Michael Taube: New Democrats haven't learned from their Liberal carbon tax mistake,2024-09-19, National Post (Online); Toronto, NP Comment,3106959883,Federal carbon-tax politics
6539,Liberals' border policy has failed,2024-09-19," National Post; Don Mills, Ont.", Canada,3106862112,Federal immigration policy
6540,"Poloz winding up for big league pensions pitch; Investments; Multibillion fund involving brookfield, ottawa and Canadian pension giants being discussed, sources say",2024-09-19," National Post; Don Mills, Ont.", Financial Post,3106862095,Federal/pensions (Poloz)
6541,"September 18, 2024 (Page A4)",2024-09-18," National Post (2011-); Toronto, Canada",NA,3108467813,Text unavailable — cannot classify
6542,"September 18, 2024 (Page A3)",2024-09-18," National Post (2011-); Toronto, Canada",NA,3108467810,Text unavailable — cannot classify
6543,"September 18, 2024 (Page FP3)",2024-09-18," National Post (2011-); Toronto, Canada",NA,3108467731,Text unavailable — cannot classify
6544,"September 18, 2024 (Page A6)",2024-09-18," National Post (2011-); Toronto, Canada",NA,3108467726,Text unavailable — cannot classify
6545,"September 18, 2024 (Page FP9)",2024-09-18," National Post (2011-); Toronto, Canada",NA,3108467722,Text unavailable — cannot classify
6546,"Miller says premiers 'weaponized' asylum seekers debate, disputes plan to re locate claimants",2024-09-18, National Post (Online); Toronto, Canadian Politics,3106785544,Federal/premiers (asylum dispute)
6547,'The House has no confidence': How Conservatives hope to trigger an election next week,2024-09-18, National Post (Online); Toronto, News,3106716701,Federal politics (non-confidence motion)
6548,Pierre Poilievre to introduce motion of non-confidence next week to trigger 'carbon tax election',2024-09-18, National Post (Online); Toronto, News,3106698669,Federal politics (non-confidence motion)
6549,"Exclusive: UCP members want to debate private health care, abortion and Marxism",2024-09-18, National Post (Online); Toronto, News,3106656483,Alberta (UCP policy proposals)
6550,FIRST READING: Some numbers on just how badly the Liberals did in Monday's byelections,2024-09-18, National Post (Online); Toronto, NP Comment,3106645401,Federal byelections
6551,Joel Kotkin: The Liberals' open immigration policy has failed,2024-09-18, National Post (Online); Toronto, NP Comment,3106633763,Federal immigration policy
6552,Singh touts a single win to make case for NDP as the change party,2024-09-18," National Post; Don Mills, Ont.", Canada,3106525108,"Federal NDP (Singh, byelections)"
6553,A historical look at just how poorly Liberals performed in this week's byelections,2024-09-18," National Post; Don Mills, Ont.", Canada,3106525102,Federal byelections
6554,"September 17, 2024 (Page A3)",2024-09-17," National Post (2011-); Toronto, Canada",NA,3108467867,Text unavailable — cannot classify
6555,"September 17, 2024 (Page A5)",2024-09-17," National Post (2011-); Toronto, Canada",NA,3108467865,Text unavailable — cannot classify
6556,"September 17, 2024 (Page A8)",2024-09-17," National Post (2011-); Toronto, Canada",NA,3108467859,Text unavailable — cannot classify
6557,"September 17, 2024 (Page FP2)",2024-09-17," National Post (2011-); Toronto, Canada",NA,3108467854,Text unavailable — cannot classify
6558,"September 17, 2024 (Page A6)",2024-09-17," National Post (2011-); Toronto, Canada",NA,3108467849,Text unavailable — cannot classify
6559,"September 17, 2024 (Page FP9)",2024-09-17," National Post (2011-); Toronto, Canada",NA,3108467846,Text unavailable — cannot classify
6560,"Singh pitches to voters after byelection results: 'We have shown you that when we fight, we can win'",2024-09-17, National Post (Online); Toronto, Canadian Politics,3106484068,"Federal NDP (Singh, byelections)"
6561,John Ivison: Liberals are already acting like the unofficial opposition to Pierre Poilievre,2024-09-17, National Post (Online); Toronto, NP Comment,3106468785,"Federal politics (Liberals, Poilievre)"
6562,Tasha Kheiriddin: Trudeau to Canadians - how dare you not vote Liberal?,2024-09-17, National Post (Online); Toronto, NP Comment,3106381267,"Federal politics (Trudeau, byelection)"
6563,New poll shows Liberals blasted to fourth place in future House of Commons,2024-09-17, National Post (Online); Toronto, Canada,3106332760,Federal politics polling
6564,Ready for 're-education'; I will not rest until these political prosecutions end once and for all,2024-09-17," National Post; Don Mills, Ont.", Ideas,3106216064,Ontario College of Psychologists (Peterson)
6565,Liberals can't keep Canadians safe,2024-09-17," National Post; Don Mills, Ont.", Financial Post,3106216028,"Federal (immigration, crime, border)"
6566,"September 16, 2024 (Page A8)",2024-09-16," National Post (2011-); Toronto, Canada",NA,3108466681,Text unavailable — cannot classify
6567,Geoff Russ: Elon Musk could save taxpayers millions. Of course Liberals won't hear of it,2024-09-16, National Post (Online); Toronto, NP Comment,3105944423,"Federal politics (Musk, spending)"
6568,Diane Francis: Liberals can't keep Canadians safe,2024-09-16, National Post (Online); Toronto, Diane Francis,3105925809,"Federal (immigration, crime, border)"
6569,Is this Singh's swan song?; Criticism within party mounting,2024-09-16," National Post; Don Mills, Ont.", Opinion,3105554829,Federal NDP (Singh leadership)
6570,Jamie Sarkonak: Don't burden the rest of Canada with asylum seekers. Change the rules,2024-09-15, National Post (Online); Toronto, NP Comment,3104950136,Federal asylum-seeker relocation op-ed
6571,Letters - Top tips for Carney: Cut taxes and government spending,2024-09-15, National Post (Online); Toronto, NP Comment,3104946252,"Letters (federal, Carney)"
6572,"September 14, 2024 (Page FP11)",2024-09-14," National Post (2011-); Toronto, Canada",NA,3108468963,Text unavailable — cannot classify
6573,"September 14, 2024 (Page HP4)",2024-09-14," National Post (2011-); Toronto, Canada",NA,3108468936,Text unavailable — cannot classify
6574,"September 14, 2024 (Page A11)",2024-09-14," National Post (2011-); Toronto, Canada",NA,3108468734,Text unavailable — cannot classify
6575,"September 14, 2024 (Page A10)",2024-09-14," National Post (2011-); Toronto, Canada",NA,3108468731,Text unavailable — cannot classify
6576,"September 14, 2024 (Page A4)",2024-09-14," National Post (2011-); Toronto, Canada",NA,3108468729,Text unavailable — cannot classify
6577,"September 14, 2024 (Page A8)",2024-09-14," National Post (2011-); Toronto, Canada",NA,3108468727,Text unavailable — cannot classify
6578,"September 14, 2024 (Page A6)",2024-09-14," National Post (2011-); Toronto, Canada",NA,3108468725,Text unavailable — cannot classify
6579,"September 14, 2024 (Page FP3)",2024-09-14," National Post (2011-); Toronto, Canada",NA,3108468707,Text unavailable — cannot classify
6580,"September 14, 2024 (Page A1)",2024-09-14," National Post (2011-); Toronto, Canada",NA,3108468681,Text unavailable — cannot classify
6581,"September 14, 2024 (Page A3)",2024-09-14," National Post (2011-); Toronto, Canada",NA,3108468677,Text unavailable — cannot classify
6582,NDP expects to hold Winnipeg stronghold in byelection despite Poilievre's 'sellout Singh' campaign,2024-09-14, National Post (Online); Toronto, Canada,3104768793,Federal byelection (Winnipeg)
6583,Jordan Peterson: I am ready for my re-education. Who will be my tutor?,2024-09-14, National Post (Online); Toronto, NP Comment,3104764172,Ontario College of Psychologists (Peterson)
6584,Looming pilots strike cries out for federal intervention,2024-09-14," National Post; Don Mills, Ont.", Financial Post,3104623389,Federal labour (Air Canada pilots)
6585,Progressive experiment has failed,2024-09-14," National Post; Don Mills, Ont.", Opinion,3104623379,Federal/BC (progressive politics)
6586,Poilievre pivots to pro-union tack; Vows to not pass right-to-work legislation,2024-09-14," National Post; Don Mills, Ont.", Canada,3104623372,"Federal (Poilievre, unions)"
6587,NDP expects to hold its Winnipeg stronghold; Byelection; conservatives mount fierce challenge,2024-09-14," National Post; Don Mills, Ont.", Canada,3104623347,Federal byelection (Winnipeg)
6588,NDP expects to hold its Winnipeg stronghold; Byelection; Conservatives mount fierce challenge,2024-09-14," National Post; Don Mills, Ont.", Canada,3104623316,Federal byelection (Winnipeg)
6589,"September 13, 2024 (Page A5)",2024-09-13," National Post (2011-); Toronto, Canada",NA,3108467912,Text unavailable — cannot classify
6590,"September 13, 2024 (Page A4)",2024-09-13," National Post (2011-); Toronto, Canada",NA,3108467911,Text unavailable — cannot classify
6591,"September 13, 2024 (Page A10)",2024-09-13," National Post (2011-); Toronto, Canada",NA,3108467900,Text unavailable — cannot classify
6592,"September 13, 2024 (Page FP9)",2024-09-13," National Post (2011-); Toronto, Canada",NA,3108467885,Text unavailable — cannot classify
6593,"Howard Levitt: Air Canada pilots strike cries out for federal intervention, but politics might get in the way",2024-09-13, National Post (Online); Toronto, Transportation,3104552870,Federal labour (Air Canada pilots)
6594,Poilievre pledges he won't introduce anti-union policies as prime minister,2024-09-13, National Post (Online); Toronto, Canadian Politics,3104481471,"Federal (Poilievre, unions)"
6595,Geoff Russ: Canada's progressive experiment has failed,2024-09-13, National Post (Online); Toronto, NP Comment,3104472805,Federal/BC (progressive politics)
6596,"Posthaste: Lower interest rates and Trudeau departure key to Canadian CEOs' outlook, survey finds",2024-09-13, National Post (Online); Toronto, News,3104442405,Federal politics / business outlook
6600,"September 12, 2024 (Page A5)",2024-09-12," National Post (2011-); Toronto, Canada",NA,3105580168,Text unavailable — cannot classify
6601,"September 12, 2024 (Page FP9)",2024-09-12," National Post (2011-); Toronto, Canada",NA,3105580139,Text unavailable — cannot classify
6602,"September 12, 2024 (Page A1)",2024-09-12," National Post (2011-); Toronto, Canada",NA,3105579919,Text unavailable — cannot classify
6604,Air Canada strike could 'devastate' economy as passengers panic online: 'We'll miss the funeral',2024-09-12, National Post (Online); Toronto, News,3104002819,Newfoundland (Air Canada strike impact)
6605,"Air Canada strike could 'devastate' the economy of this Canadian province, warns politician",2024-09-12, National Post (Online); Toronto, News,3103955773,Newfoundland (Air Canada strike impact)
6606,Jamie Sarkonak: Local cops stuck trying to fix Trudeau liberals' drug chaos,2024-09-12, National Post (Online); Toronto, NP Comment,3103843337,Federal drug policy / local policing
6607,Prorogation of Parliament would present 'more risk than reward' for Liberals - unless Trudeau steps down,2024-09-12, National Post (Online); Toronto, Canadian Politics,3103748005,Federal politics (prorogation)
6608,Jamie Sarkonak: Liberal drug decriminalization mess foisted onto local police,2024-09-12, National Post (Online); Toronto, NP Comment,3103747333,Federal drug policy / local policing
6609,Ryan Painter: Is this Jagmeet Singh's swan song?,2024-09-12, National Post (Online); Toronto, NP Comment,3103746814,Federal NDP (Singh leadership)
6610,Ottawa mulls relocating asylum seekers across Canada,2024-09-12," National Post; Don Mills, Ont.", Canada,3103646061,Federal asylum-seeker relocation
6611,Liberal MP calls Atlantic Canada 'EI kind of folks',2024-09-12," National P ost; Don Mills, Ont.", Canada,3103645866,"Federal politics (Liberal MP, EI comment)"
6612,Prorogation 'more risk than reward' for Liberals - unless Trudeau steps down,2024-09-12," National Post; Don Mills, Ont.", Canada,3103645791,Federal politics (prorogation)
6613,"September 11, 2024 (Page A5)",2024-09-11," National Post (2011-); Toronto, Canada",NA,3105579758,Text unavailable — cannot classify
6614,"September 11, 2024 (Page A4)",2024-09-11," National Post (2011-); Toronto, Canada",NA,3105579757,Text unavailable — cannot classify
6615,"September 11, 2024 (Page FP4)",2024-09-11," National Post (2011-); Toronto, Canada",NA,3105579752,Text unavailable — cannot classify
6616,"September 11, 2024 (Page FP9)",2024-09-11," National Post (2011-); Toronto, Canada",NA,3105579746,Text unavailable — cannot classify
6617,"September 11, 2024 (Page FP8)",2024-09-11," National Post (2011-); Toronto, Canada",NA,3105579744,Text unavailable — cannot classify
6618,"Ottawa looks to relocate thousands of asylum seekers to provinces from Ontario, Quebec",2024-09-11, National Post (Online); Toronto, Canada,NA,Federal asylum-seeker relocation
6619,Federal government is considering distributing asylum seekers around the country,2024-09-11, National Post (Online); Toronto, Canada,3103579914,Federal asylum-seeker relocation
6620,"Federal government looking to distribute asylum seekers around the country, New Brunswick premier says",2024-09-11, National Post (Online); Toronto, Canada,3103577511,Federal asylum-seeker relocation
6621,NP View: Liberals must end Air Canada labour dispute immediately,2024-09-11, National Post (Online); Toronto, NP Comment,3103466687,Federal labour (Air Canada pilots)
